time,source,destination,protocol,length,payload_preview
2026-09-13T17:15:07,64:ff9b::3374:fdaa:443,2409:40f0:8476:555b:a18f:f259:654c:d794:59193,TCP,116,....%..........)....Uk0:.Cd.)..t[.....`.>]
2026-09-13T17:15:07,64:ff9b::284f:a39a:443,2409:40f0:8476:555b:a18f:f259:654c:d794:57443,TCP,86,-
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57443,64:ff9b::284f:a39a:443,TCP,74,-
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57443,64:ff9b::284f:a39a:443,TCP,591,"...............j3.BG..q..Md..C.w}/.k....A(. .."".=.5i......xB"
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57441,2606:4700:8d72:7cbc:c2d7:1021:5ff2:75c4:443,TCP,74,-
2026-09-13T17:15:07,2a03:90c0:f1:2801::9999:80,2409:40f0:8476:555b:a18f:f259:654c:d794:63126,TCP,86,-
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:63126,2a03:90c0:f1:2801::9999:80,TCP,86,-
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57445,64:ff9b::284f:a39a:443,TCP,86,-
2026-09-13T17:15:07,4.150.223.114:443,10.47.204.123:57444,TCP,66,-
2026-09-13T17:15:07,2606:4700:8d72:7cbc:c2d7:1021:5ff2:75c4:443,2409:40f0:8476:555b:a18f:f259:654c:d794:57441,TCP,74,-
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57441,2606:4700:8d72:7cbc:c2d7:1021:5ff2:75c4:443,TCP,74,-
2026-09-13T17:15:07,64:ff9b::284f:a39a:443,2409:40f0:8476:555b:a18f:f259:654c:d794:57445,TCP,86,-
2026-09-13T17:15:07,64:ff9b::284f:a39a:443,2409:40f0:8476:555b:a18f:f259:654c:d794:57443,TCP,173,"....X...T...!.t..a......e......z..^......3. .."".=.5i......xB"
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57445,64:ff9b::284f:a39a:443,TCP,74,-
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57443,64:ff9b::284f:a39a:443,TCP,511,".....................j3.BG..q..Md..C.w}/.k....A(. .."".=.5i.."
2026-09-13T17:15:07,2409:40f0:8476:555b:a18f:f259:654c:d794:57445,64:ff9b::284f:a39a:443,TCP,591,...............q.W...d.}..n..|b.9..]^...... d......TW..L....
2026-09-13T17:15:08,64:ff9b::284f:a39a:443,2409:40f0:8476:555b:a18f:f259:654c:d794:57445,TCP,173,....X...T...!.t..a......e......z..^......3. d......TW..L....
2026-09-13T17:15:08,4.150.223.114:443,10.47.204.123:57442,TCP,66,-
2026-09-13T17:15:08,64:ff9b::284f:a39a:443,2409:40f0:8476:555b:a18f:f259:654c:d794:57443,TCP,2634,"...........""...M.~d.0'.....O. ..._.b....... .."".=.5i......xB"
2026-09-13T17:15:08,2409:40f0:8476:555b:a18f:f259:654c:d794:57443,64:ff9b::284f:a39a:443,TCP,74,-
